date	followers	following	medias
2018-09-20 13:54:41	4194	407	272
2018-09-20 14:54:40	4194	408	272
2018-09-20 15:54:40	4195	408	272
2018-09-20 16:54:40	4196	408	272
2018-09-20 17:54:40	4198	408	272
2018-09-20 18:54:40	4199	408	272
2018-09-20 19:54:40	4198	408	272
2018-09-21 00:22:01	4199	409	273
2018-09-21 01:22:01	4199	408	273
2018-09-21 02:22:01	4198	408	273
2018-09-21 03:22:02	4198	408	273
2018-09-21 04:22:02	4198	408	273
2018-09-21 05:22:02	4198	408	273
2018-09-21 06:22:03	4198	408	273
2018-09-21 07:22:03	4198	408	273
2018-09-21 08:22:03	4198	408	273
2018-09-21 09:22:04	4198	408	273
2018-09-21 10:22:04	4200	408	273
2018-09-21 11:22:04	4200	408	273
2018-09-21 12:22:04	4200	409	273
2018-09-21 13:22:05	4202	409	273
2018-09-21 14:22:05	4202	409	273
2018-09-21 15:22:06	4203	409	273
2018-09-21 16:22:06	4203	409	273
2018-09-21 17:22:06	4203	409	273
2018-09-21 18:22:07	4203	409	273
2018-09-21 19:22:07	4202	409	273
2018-09-21 20:22:07	4202	409	273
2018-09-21 21:22:07	4202	409	273
2018-09-21 22:22:07	4202	409	274
2018-09-21 23:22:07	4202	410	274
2018-09-22 00:22:08	4203	407	274
2018-09-22 01:22:08	4204	407	274
2018-09-22 02:22:09	4204	407	274
2018-09-22 03:22:08	4204	407	274
2018-09-22 04:22:09	4205	406	274
2018-09-22 05:22:09	4205	406	274
2018-09-22 06:22:10	4205	407	274
2018-09-22 07:22:10	4205	407	274
2018-09-22 08:22:11	4205	407	274
2018-09-22 09:22:11	4205	407	274
2018-09-22 10:22:11	4205	407	274
2018-09-22 11:22:11	4204	407	274
2018-09-22 12:22:12	4202	407	274
2018-09-22 13:22:12	4203	407	274
2018-09-22 14:22:13	4203	407	274
2018-09-22 15:22:13	4204	407	274
2018-09-22 16:22:13	4204	407	274
2018-09-22 17:22:13	4204	407	274
2018-09-22 18:22:13	4205	407	274
2018-09-22 19:22:14	4205	407	274
2018-09-22 20:22:14	4205	407	274
2018-09-22 21:22:15	4205	407	274
2018-09-22 22:22:15	4205	407	274
2018-09-22 23:22:15	4206	407	274
2018-09-23 00:22:15	4206	407	274
2018-09-23 01:22:16	4206	407	274
2018-09-23 02:22:16	4207	407	274
2018-09-23 03:22:16	4207	407	274
2018-09-23 04:22:16	4207	407	274
2018-09-23 05:22:17	4208	407	274
2018-09-23 06:22:17	4208	407	274
2018-09-23 07:22:18	4208	407	274
2018-09-23 08:22:18	4208	407	274
2018-09-23 09:22:18	4208	407	274
2018-09-23 10:22:18	4208	407	275
2018-09-23 11:22:19	4208	407	275
2018-09-23 12:22:19	4212	407	275
2018-09-23 13:22:20	4214	407	275
2018-09-23 14:22:20	4213	407	275
2018-09-23 15:22:20	4213	407	275
2018-09-23 16:22:21	4212	407	275
2018-09-23 17:22:21	4212	408	275
2018-09-23 18:22:21	4212	408	275
2018-09-23 19:22:22	4212	408	275
2018-09-23 20:22:21	4212	408	275
2018-09-23 21:22:22	4212	408	275
2018-09-23 22:22:22	4212	408	276
2018-09-23 23:22:23	4212	408	276
2018-09-24 00:22:23	4213	406	276
2018-09-24 01:22:23	4215	406	276
2018-09-24 02:22:23	4215	406	276
2018-09-24 03:22:24	4216	406	276
2018-09-24 04:22:24	4216	406	276
2018-09-24 05:22:24	4216	406	276
2018-09-24 06:22:25	4216	406	276
2018-09-24 07:22:25	4216	406	276
2018-09-24 08:22:26	4216	406	276
2018-09-24 09:22:26	4216	406	276
2018-09-24 10:22:27	4216	406	276
2018-09-24 11:22:27	4216	406	276
2018-09-24 12:22:28	4216	406	276
